company_name,cleaned_name
Transworld Systems Inc.,TransWorld Systems Inc
TSI (Transworld Systems Inc.),TransWorld Systems Inc
U.S Department of Education,Department of Education
U.S. Department of Education,Department of Education
U.S. Dept of education/GL,Department of Education
U.S. Treasury,Department of the Treasury
UAS LoanService (University Accounting Service),University Accounting Service
UC Berkeley Global Internship Program,UC Berkeley Global Internship Program
UHEAA,UHEAA
United Advisors Group,United Advisors Group
United Processing Center,United Processing Center
UNited StudeNd LoaN Division,United Student Loan Division
UNITED STUDENT AID FUNDS,United Student Aid Funds
University Accounting Service,University Accounting Service
University Accounting Service LLC,University Accounting Service
University Accounting Services,University Accounting Service
University accounting services.,University Accounting Service
university of miami,University of Miami
University of Mississippi,University of Mississippi
University of North Carolina at Greensboro,University of North Carolina at Greensboro
university of phoenix,University of Phoenix
University of Phoenix,University of Phoenix
Unknown,Unknown
US Deparment of Education Default Resolution Group,Department of Education
Us department of Education,Department of Education
US Department of Education,Department of Education
US DEPT OF ED,Department of Education
US DEPT OF EDUCATION,Department of Education
"US Student Loan Center, Inc.","US Student Loan Center, Inc."
Usa student loan,USA Student Loans
USA Student Loans,USA Student Loans
USCB Corporation,USCB Corporation
Utah Higher Education Assistance Authority,Utah Higher Education Assistance Authority
Valparaiso university,Valparaiso University
Ventura College of Law,Ventura College of Law
Vermont Student Assistance Corporation,Vermont Student Assistance Corporation
Wagner College,Wagner College
Washington State Need Grant,Washington State Need Grant
Washington State University,Washington State University
Webster University,Webster University
Wells Fargo,Wells Fargo
Wells Fargo Bank NA,Wells Fargo
"WELLS FARGO BANK, NA",Wells Fargo
Wells Fargo Educational Financial Services,Wells Fargo
"Wells Fargo, NA",Wells Fargo
"Weltman, Weinberg & Reis Co, LPA","Weltman, Weinberg & Reis Co, LPA"
western union,Western Union
"Williams & Fudge, Inc.","Williams & Fudge, Inc."
"Williams & Fudge, INC.","Williams & Fudge, Inc."
Williams and fudge inc,"Williams & Fudge, Inc."
WILLIAMS AND FUDGE INC,"Williams & Fudge, Inc."
Windham Professionals,Windham Professionals
Xerox,Xerox
Younomics,Younomics
